;ISBN 13;Book title;Author;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
1502;9780060194918;Daughter of Fortune;Isabel Allende;399;1999-10-06;3,91;1005;95
1503;9780590956161;The Meanest Thing To Say;Bill Cosby;40;1997-09-01;3,54;990;55
1504;9780743272933;The Good Earth (House of Earth  #1);Pearl S. Buck;357;2004-09-15;3,98;4080;501
1505;9781400030651;A Fine Balance;Rohinton Mistry;603;2001-11-30;4,36;112196;7546
1506;9780590956178;The Best Way to Play: A Little Bill Book;Bill Cosby;40;1997-09-01;3,49;405;17
1507;9780316284950;White Oleander;Janet Fitch;480;2000-05-01;3,96;3112;210
1508;9780743262170;Cry  the Beloved Country;Alan Paton;316;2003-11-01;3,9;3140;383
1509;9780060740450;One Hundred Years of Solitude;Gabriel García Márquez;458;2004-01-20;4,07;3437;316
1510;9780452260115;Song of Solomon;Toni Morrison;337;1987-09-01;4,06;1730;143
1511;9781417735983;One Hundred Years of Solitude;Gabriel García Márquez;417;2006-02-01;4,07;90;5
1512;9780452282193;The Bluest Eye;Toni Morrison;216;2000-04-27;4,03;3420;280
1513;9780060930530;The Poisonwood Bible;Barbara Kingsolver;546;1999-10-01;4,06;5773;828
1514;9789022530078;Vergeef me;Wally Lamb;744;2001-07-01;4,18;67;9
1515;9780061136900;The Crusader: Ronald Reagan and the Fall of Communism;Paul Kengor;432;2006-10-17;4,23;179;14
1516;9780684848235;Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader;Dinesh D'Souza;304;1999-02-23;4,13;1059;35
1517;9780375757280;Ethan Frome and Summer;Edith Wharton;274;2001-05-08;3,86;483;54
1518;9781883011932;Collected Stories  1891-1910;Edith Wharton;928;2001-01-29;4,26;56;8
1519;9780684847559;A Backward Glance;Edith Wharton;385;1998-07-15;3,76;521;77
1520;9781417911837;The Best Short Stories of Edith Wharton;Edith Wharton;300;2004-04-16;3,77;41;4
1521;9780007144358;Complete Works of Oscar Wilde;Oscar Wilde;1270;2003-08-04;4,45;11903;183
1522;9780394759845;Oscar Wilde;Richard Ellmann;736;1988-11-05;4,24;2695;119
1523;9780486414232;An Ideal Husband;Oscar Wilde;78;2001-02-05;4,04;32946;895
1524;9780375751516;The Picture of Dorian Gray;Oscar Wilde;272;2004-06-01;4,08;760717;17179
1525;9780140430899;De Profundis and Other Writings;Oscar Wilde;252;1976-08-26;4,21;2298;91
1526;9781590528600;Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations);Ravi Zacharias;94;2006-06-01;3,95;545;52
1527;9780142000700;Travels with Charley: In Search of America;John Steinbeck;214;2002-02-05;4,08;56349;3738
1528;9781883011017;Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men;John Steinbeck;909;1994-09-01;4,35;371;25
1529;9780142000694;The Pearl;John Steinbeck;96;2002-01-08;3,46;160706;6198
1530;9780911903966;The Life and Times of Scrooge McDuck;Don Rosa;266;2005-06-01;4,67;2467;149
1531;9781888472400;The Life and Times of Scrooge McDuck Companion;Don Rosa;208;2006-09-19;4,48;959;22
1532;9781592241330;The Last Christmas of Ebenezer Scrooge;Marvin Kaye;168;2004-09-01;4,13;14;3
1533;9781888472424;Uncle Scrooge #359;Don Rosa;64;2006-11-07;3,88;8;1
1534;9780767916226;A Christmas Story;Jean Shepherd;144;2003-10-28;4,08;3187;381
1535;9780802417589;My First Story of Christmas;Tim Dowley;24;2004-09-01;4,07;10;1
1536;9780307989130;The Christmas Story;Jane Werner Watson;24;2000-08-01;4,43;1304;32
1537;9780763631208;A Christmas Carol;Charles Dickens;160;2006-09-12;4,05;4359;353
1538;9781580495790;A Christmas Carol;Charles Dickens;112;2012-01-01;4,05;6671;490
1539;9780393051582;The Annotated Christmas Carol;Charles Dickens;266;2004-11-17;4,05;276;46
1540;9780762408481;Charles Dickens' A Christmas Carol;Jane Parker Resnick;56;2000-10-11;4,1;58;6
1541;9780375759147;Little Dorrit;Charles Dickens;1347;2002-03-12;3,99;291;33
1542;9780140439052;A Christmas Carol and Other Christmas Writings;Charles Dickens;288;2003-10-30;4,14;30393;449
1543;9780684865379;The Life of Our Lord: Written for His Children During the Years 1846 to 1849;Charles Dickens;128;1999-11-09;4,01;1729;364
1544;9780321107213;Hard Times;Charles Dickens;353;2003-10-19;3,52;41041;1706
1545;9780385517232;The Innocent Man: Murder and Injustice in a Small Town;John Grisham;360;2006-10-10;3,82;52005;4136
1546;9780385339681;The Last Juror;John Grisham;278;2006-04-25;3,87;72294;1755
1547;9780440234746;The Testament;John Grisham;535;1999-12-28;3,86;89014;2361
1548;9780385339605;The Rainmaker;John Grisham;419;2005-09-27;3,94;151818;1489
1549;9780385339100;The Partner;John Grisham;416;2005-04-26;3,92;97474;1928
1550;9780385339094;The Street Lawyer;John Grisham;384;2005-04-26;3,83;89947;1813
1551;9780385339599;The Summons;John Grisham;384;2005-09-27;3,69;58901;1642
1552;9780385339674;The Brethren;John Grisham;384;2005-12-27;3,73;76085;1505
1553;9780385339650;The King of Torts;John Grisham;276;2005-12-27;3,68;68098;1705
1554;9780099481683;Skipping Christmas;John Grisham;198;2004-11-06;3,49;46334;3399
1555;9780582418271;The Firm;Robin Waterfield;76;2000-02-15;4,01;540910;3378
1556;9780385339087;The Client;John Grisham;483;2010-03-16;4,0;367399;1978
1557;9780385337939;A Painted House;John Grisham;384;2004-02-03;3,7;67857;3375
1558;9780739342770;The Summons / The Brethren;John Grisham;0;2006-10-10;3,99;241;9
1559;9780385335973;Dragonfly in Amber (Outlander  #2);Diana Gabaldon;743;2001-08-07;4,32;222140;11121
1560;9780141009827;Forever Amber;Kathleen Winsor;972;2002-07-25;3,99;14409;849
1561;9780439071710;Amber Brown Is Green With Envy;Paula Danziger;160;2004-08-01;3,95;834;42
1562;9780142406199;Amber Brown Is Not a Crayon;Paula Danziger;96;2006-09-07;3,84;4787;189
1563;9780786937424;Amber and Ashes (Dragonlance: The Dark Disciple  #1);Margaret Weis;336;2005-07-01;3,87;2637;64
1564;9780747411871;The Waste Lands (The Dark Tower  #3);Stephen King;509;1992-11-12;4,24;76;5
1565;9780763628109;The Dragon's Eye (Dragonology Chronicles  #1);Dugald A. Steer;221;2006-11-14;3,82;2221;113
1566;9780978655563;The Dragon's Eye (Erec Rex  #1);Kaza Kingsley;341;2006-10-01;4,0;59;8
1567;9780441013722;Dragon's Eye (Stonefort  #1);James A. Hetley;368;2006-10-31;3,43;133;16
1568;9780671876098;Dragon's Eye;Christopher Stasheff;279;1994-07-01;3,51;41;7
1570;9780452011465;Here I Stand: A Life of Martin Luther;Roland H. Bainton;336;1995-04-01;4,08;2841;224
1571;9783404134113;The Stand: Das letzte Gefecht;Stephen King;1227;2003-09-01;4,34;256;16
1572;9780385516488;'Salem's Lot;Stephen King;594;2005-11-01;4,25;84123;571
1573;9780743536967;'Salem's Lot;Stephen King;17;2004-01-19;4,02;227;54
1574;9780965772419;'Salem's Lot;Stephen King;405;1975-10-17;4,02;1039;130
1575;9780517219027;Carrie / 'Salem's Lot / The Shining;Stephen King;1096;2002-07-02;4,54;13137;61
1576;9780451092311;'Salem's Lot;Stephen King;427;1979-11-13;4,02;178;35
1577;9780340770535;'Salem's Lot;Stephen King;586;2010-10-06;4,02;25;6
1578;9780141187426;Orientalism;Edward W. Said;396;2003-08-28;4,08;873;77
1579;9780618101368;Interpreter of Maladies;Jhumpa Lahiri;198;2000-05-22;4,15;131876;8009
1580;9780195300925;The Faiths of the Founding Fathers;David L. Holmes;225;2006-03-01;3,89;461;66
1581;9780553375930;Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3);Ann Brashares;338;2006-06-13;3,83;61435;1290
1582;9780385729369;Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4);Ann Brashares;384;2007-01-09;3,81;62199;1613
1583;9780375823022;Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21);Barbara Park;86;2004-04-27;4,04;111;8
1584;9780452284234;Nineteen Eighty-Four;George Orwell;339;2003-05-06;4,18;9910;748
1585;9780151010264;Animal Farm / 1984;George Orwell;400;2003-06-01;4,28;146659;1625
1586;9780451516756;1984;George Orwell;268;1981-07-01;4,18;1322;121
1587;9781421808321;Nineteen Eighty-Four;George Orwell;387;2005-07-01;4,18;215;17
1588;9780060776091;Brave New World / Brave New World Revisited;Aldous Huxley;340;2005-07-05;4,16;129179;1047
1589;9780060535261;Brave New World and Brave New World Revisited;Aldous Huxley;340;2004-06-01;4,16;421;53
1590;9780060898526;Brave New World Revisited;Aldous Huxley;123;2006-09-05;3,95;12989;740
1591;9780060850524;Brave New World;Aldous Huxley;259;2006-10-17;3,99;13353;1286
1592;9781594201042;Andrew Carnegie;David Nasaw;896;2006-10-24;3,99;2580;205
1593;9780375413315;The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3);Naguib Mahfouz;1313;2001-10-16;4,46;3347;245
1594;9780385264730;Children of the Alley;Naguib Mahfouz;464;1996-10-18;4,1;1192;131
1595;9780385499095;Akhenaten: Dweller in Truth;Naguib Mahfouz;168;2000-04-04;3,81;1282;139
1596;9780385423335;Adrift on the Nile;Naguib Mahfouz;167;1994-01-01;3,82;411;38
1597;9780385264761;Midaq Alley;Naguib Mahfouz;286;1991-12-01;3,85;4815;446
1598;9780385423359;The Harafish;Naguib Mahfouz;416;1997-09-17;4,36;590;61
1599;9780385499224;The Day the Leader Was Killed;Naguib Mahfouz;112;2000-06-06;3,63;809;93
1600;9780140369267;Anne Frank Beyond the Diary: A Photographic Remembrance;Ruud van der Rol;113;1995-05-01;4,27;24181;242
1601;9780671662349;Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family;Miep Gies;252;1988-04-15;4,29;55487;669
1602;9780822217183;The Diary of Anne Frank;Frances Goodrich;70;1998-10-01;4,06;1320;61
1603;9780380732548;Anne Frank: Life in Hiding;Johanna Hurwitz;64;1999-12-08;3,99;152;23
1604;9780822011088;Cliffs Notes on Hansberry's A Raisin in the Sun;Rosetta James;80;1992-08-15;3,9;10;2
1605;9780446528054;Dear John;Nicholas Sparks;276;2006-10-30;4,03;502726;9645
1606;9780156004800;All the King's Men;Robert Penn Warren;439;1996-09-01;4,09;47324;1720
1607;9780822001461;Cliffs notes on Warren's All the King's Men;L. David Allen;80;1964-01-13;3,45;3;1
1608;9780820320977;All the King's Men: Three Stage Versions;Robert Penn Warren;264;2000-07-04;4,0;3;0
1609;9781579547691;Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body;Ian King;364;2003-10-17;3,98;256;13
1610;9780393316049;Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character;Richard P. Feynman;391;1997-04-12;4,28;106526;3685
1611;9780201500646;The Feynman Lectures on Physics  3 Vols;Richard P. Feynman;3;1989-01-01;4,6;78;7
1612;9780393320923;What Do You Care What Other People Think?;Richard P. Feynman;256;2001-01-11;4,27;15700;556
1613;9780738206363;Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman;Richard P. Feynman;512;2005-04-05;4,25;1874;93
1614;9780691024172;QED: The Strange Theory of Light and Matter;Richard P. Feynman;158;1988-10-21;4,24;13463;320
1615;9780785990239;Kiffe Kiffe Demain (French Edition);Faïza Guène;182;2005-10-01;3,4;19;1
1616;9780393061437;iWoz;Steve Wozniak;313;2006-09-17;3,87;3536;375
1617;9780865475878;Cradle to Cradle: Remaking the Way We Make Things;William McDonough;193;2002-04-22;4,11;9017;820
1618;9780446609401;Cradle and All;James Patterson;384;2001-02-01;3,86;27869;869
1619;9780807847237;The Creation of the American Republic  1776-1787;Gordon S. Wood;675;1998-04-06;4,12;1792;43
1620;9780393058260;Power  Faith  and Fantasy: America in the Middle East 1776 to the Present;Michael B. Oren;832;2007-01-16;3,98;1510;216
1621;9780521290609;Problems of the Self: Philosophical Papers 1956 1972;Bernard Williams;276;1976-03-25;3,97;57;2
1622;9780521286916;Moral Luck: Philosophical Papers 1973-1980;Bernard Williams;188;1981-03-12;4,09;114;5
1623;9780674268586;Ethics and the Limits of Philosophy;Bernard Williams;230;1986-03-15;4,06;556;20
1624;9781880393338;On Rhetoric and Language: Four Key Dialogues;Jean Nienkamp;232;1999-07-01;4,2;10;1
1625;9780393324297;The Norton Anthology of Modern and Contemporary Poetry;Jahan Ramazani;1136;2003-04-17;4,23;286;21
1626;9781903252048;The Elephant War;Gillian Avery;256;2000-10-01;3,67;19;3
1627;9780143039099;The Wind in the Willows;Kenneth Grahame;197;2005-10-27;3,99;147748;3490
1628;9780679436348;The Everyman Anthology of Poetry for Children;Gillian Avery;379;1994-09-27;4,14;22;4
1629;9780460876018;Holiday Romance and Other Writings for Children;Charles Dickens;368;1995-05-01;3,32;8;3
1630;9780226876801;Ideas Have Consequences;Richard M. Weaver;198;1984-09-28;4,16;970;105
1631;9780961180027;The Ethics of Rhetoric;Richard M. Weaver;240;1995-11-03;4,14;65;9
1632;9780300106640;Manliness;Harvey Mansfield;304;2006-03-11;3,39;177;31
1633;9780142000274;Anna Karenina;Leo Tolstoy;838;2001-12-01;4,05;2415;397
1634;9780099922803;The Brothers Karamazov;Fyodor Dostoyevsky;796;1992-01-16;4,32;443;55
1635;9780553381009;Selected Stories of Anton Chekhov;Anton Chekhov;467;2000-10-31;4,35;27027;466
1636;9781570754364;Mother Maria Skobtsova: Essential Writings;Maria Skobtsova;192;2002-10-01;4,31;62;9
1637;9780140446425;What is Art?;Leo Tolstoy;230;1995-08-31;3,72;127;24
1638;9781400032921;The Complete Short Novels;Anton Chekhov;548;2005-08-18;4,47;10580;118
1639;9780375719011;The Double and The Gambler;Fyodor Dostoyevsky;344;2007-01-16;4,16;2486;99
1640;9780375719004;The Adolescent;Fyodor Dostoyevsky;647;2004-12-07;3,94;3568;159
1641;9780007162994;If I Die in a Combat Zone;Tim O'Brien;208;2003-04-07;3,95;11;0
1642;9780586087992;If I Die In A Combat Zone;Tim O'Brien;208;1995-04-24;3,95;53;4
1643;9780425170342;"Rainbow Six (John Clark  #2; Jack Ryan Universe  #10)";Tom Clancy;912;1999-09-01;4,09;40815;908
1644;9780385471473;Child of War  Woman of Peace;Le Ly Hayslip;388;1993-12-01;3,8;186;22
1645;9780452271685;When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace;Le Ly Hayslip;400;1993-11-01;4,12;2593;252
1646;9780295979847;Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement;Craig Scharlin;208;2000-06-01;4,22;86;4
1647;9780385337816;Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South;Anne Moody;424;2004-02-03;4,13;7072;453
1648;9780743267748;I'm Too Young To Be Seventy;Judith Viorst;64;2005-10-12;3,93;237;45
1649;9780553587159;Seventy-Seven Clocks (Bryant & May #3);Christopher Fowler;496;2005-11-29;3,89;2095;188
1650;9780142003343;The Blank Slate: The Modern Denial of Human Nature;Steven Pinker;528;2003-08-26;4,08;18793;721
1651;9780060958336;The Language Instinct: How the Mind Creates Language;Steven Pinker;448;2000-11-07;4,03;15441;693
1652;9780262660730;Learnability and Cognition: The Acquisition of Argument Structure;Steven Pinker;432;1991-08-28;3,75;50;1
1653;9780393327342;Fight Club;Chuck Palahniuk;218;2005-10-17;4,19;388782;9654
1654;9780596006792;BSD Hacks;Lavigne;450;2004-05-31;3,8;42;5
1655;9780201061963;The Design and Implementation of the 4.3BSD UNIX Operating System;Samuel J. Leffler;471;1989-06-01;4,26;27;2
1656;9780061094224;Choke;Stuart Woods;352;1996-09-12;3,84;2288;96
1657;9780312315320;Choke Point: A Brinker Mystery (Brinker P.I.);James C. Mitchell;272;2004-10-05;3,22;3;0
1658;9780142437889;The Aleph and Other Stories;Jorge Luis Borges;210;2004-07-27;4,38;20259;460
1659;9789500425995;El Aleph;Jorge Luis Borges;253;2007-09-01;4,38;146;9
1660;9780141439839;Vanity Fair;William Makepeace Thackeray;867;2003-01-30;3,79;102877;2286
1661;9781593080716;Vanity Fair;William Makepeace Thackeray;696;2003-11-01;3,79;553;97
1662;9780140620856;Vanity Fair;William Makepeace Thackeray;672;1998-10-03;3,79;296;34
1663;9781401207922;V for Vendetta;Alan Moore;296;2005-11-01;4,25;234954;4058
1664;9782020418775;V.;Thomas Pynchon;640;2001-01-02;3,96;15174;561
1665;9781416500520;Girl in the Shadows (Shadows  #2);V.C. Andrews;400;2006-03-07;3,81;5;1
1666;9781416516996;V for Vendetta;Steve Moore;358;2006-03-01;4,15;2980;118
1667;9780671010058;Heaven (Casteel  #1);V.C. Andrews;464;1997-04-01;4,03;13;0
1668;9780099532514;Slow Learner: Early Stories;Thomas Pynchon;208;1995-02-16;3,5;3169;161
1669;9780820328072;A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel;Steven Weisenburger;424;2006-11-01;4,01;152;26
1670;9780141187587;Casino Royale;Ian Fleming;181;2004-06-03;3,73;371;43
1671;9781840238433;Casino Royale;Anthony Hern;96;2005-06-01;3,7;110;10
1672;9780060838720;Bel Canto;Ann Patchett;352;2005-08-02;3,93;218195;13012
1673;9780826414533;Guerilla Film Makers Movie Blueprint;Chris          Jones;608;2003-06-20;4,2;50;1
1674;9781894925020;Mini-Manual of the Urban Guerrilla;Carlos Marighella;66;2002-09-09;3,31;127;13
1675;9781590596241;The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice);Christopher   Duncan;264;2006-02-01;3,13;37;7
1676;9780330487146;A Bend in the River;V.S. Naipaul;326;2002-05-10;3,77;13147;690
1677;9780375708343;The Middle Passage;V.S. Naipaul;256;2002-01-08;3,61;461;35
1678;9780375707278;Magic Seeds;V.S. Naipaul;280;2005-11-08;3,13;715;104
1679;9780375707285;Half a Life;V.S. Naipaul;224;2009-04-23;3,25;3078;301
1680;9780140188264;North of South: An African Journey;Shiva Naipaul;352;1996-09-26;3,89;279;33
1681;9781403904560;V.S. Naipaul;Bruce Alvin King;240;2003-10-10;2,0;0;0
1682;9780806132297;Regeneration Through Violence: The Mythology of the American Frontier  1600–1860;Richard Slotkin;670;2000-04-15;4,3;163;16
1683;9780756403454;Regeneration (Species Imperative  #3);Julie E. Czerneda;543;2006-05-02;4,13;54;2
1684;9780670869299;The Regeneration Trilogy (Regeneration  #1-3);Pat Barker;592;1996-01-01;4,38;1588;95
1685;9780552997775;The Sparrow (The Sparrow  #1);Mary Doria Russell;506;1997-11-01;4,16;664;103
1686;9781423101680;The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5);Rob Kidd;144;2006-12-01;4,05;548;14
1687;9781423100614;The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4);Rob Kidd;122;2006-10-01;3,98;644;14
1688;9781423100201;The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3);Rob Kidd;119;2006-08-01;3,89;730;20
1689;9781423100195;The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2);Rob Kidd;123;2006-06-01;3,86;859;27
1690;9781423100188;The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1);Rob Kidd;135;2006-06-01;3,83;1414;82
1691;9780141439617;The Woman in White;Wilkie Collins;672;2003-02-27;4,0;108060;5168
1692;9780486440965;The Woman in White;Wilkie Collins;504;2005-04-15;4,0;136;28
1693;9781551116440;The Woman in White;Wilkie Collins;696;2006-04-20;4,0;122;15
1694;9781593082802;The Woman in White;Wilkie Collins;635;2005-04-25;4,0;624;136
1695;9780007136582;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien;1200;2002-09-16;4,5;682;43
1696;9780393060416;The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States;National Commission on Terrorist Attacks Upon The United States;624;2004-10-17;3,6;146;16
1697;9780618260300;The Hobbit  or There and Back Again;J.R.R. Tolkien;366;2002-08-15;4,27;2530894;32871
1698;9780007137275;The Annotated Hobbit;J.R.R. Tolkien;411;2003-04-07;4,27;121;16
1699;9780618009343;Poems From The Hobbit;J.R.R. Tolkien;57;1999-12-13;4,3;169;5
1700;9781594130052;The Hobbit: Or There and Back Again;J.R.R. Tolkien;481;2003-09-01;4,27;276;43
1701;9780261103283;The Hobbit;J.R.R. Tolkien;277;2007-09-17;4,27;3213;329
1702;9780486402185;Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes;Harry Graham;64;2013-06-19;3,86;44;10
1703;9780872864283;The Essential Neruda: Selected Poems;Pablo Neruda;200;2004-04-01;4,46;5149;210
1704;9780143039969;Twenty Love Poems and a Song of Despair;Pablo Neruda;70;2006-12-26;4,3;37942;1105
1705;9781400001446;"Veinte poemas de amor y una canción desesperada; Cien sonetos de amor";Pablo Neruda;160;2002-01-22;4,3;1120;54
1706;9780786881482;Love;Pablo Neruda;43;1995-06-16;4,46;1333;68
1707;9780375724374;Anil's Ghost;Michael Ondaatje;311;2001-04-24;3,57;13022;1013
1708;9780312287443;Waiting for My Cats to Die: A Memoir;Stacy Horn;320;2002-01-17;3,67;177;28
1709;9780720608724;Narcissus and Goldmund;Hermann Hesse;288;1993-06-01;4,2;175;9
1710;9781888297010;Edward Lear's Book of Nonsense: With Lear's Original Illustrations;Edward Lear;46;1995-11-01;3,65;71;8
1711;9780312940683;A Sparrow Falls (Courtney #3);Wilbur Smith;640;2007-01-02;4,19;5019;91
1712;9781400033850;Providence of a Sparrow: Lessons from a Life Gone to the Birds;Chris Chester;304;2004-04-13;4,33;228;44
1713;9780786811052;Sparrow Hawk Red;Ben Mikaelsen;185;1995-04-01;3,79;1;0
1714;9780684850276;The Fall of a Sparrow;Robert Hellenga;464;1999-07-06;3,69;824;89
1715;9780764202537;The Bluebird and the Sparrow (Women of the West  #10);Janette Oke;251;2006-08-01;3,83;78;9
1716;9780142302095;Journey of the Sparrows;Fran Leeper Buss;160;2002-12-30;3,69;205;25
1717;9781416903277;Aleutian Sparrow;Karen Hesse;160;2005-06-01;3,78;710;146
1718;9781590171240;An Episode of Sparrows;Rumer Godden;247;2004-10-31;4,21;900;126
1719;9780140442724;Li Po and Tu Fu: Poems;Li Bai;256;1973-04-26;4,14;389;28
1720;9789573321743;混血王子的背叛 (哈利波特  #6);J.K. Rowling;735;2005-10-01;4,57;75;0
1721;9789573318316;火盃的考驗 (哈利波特  #4);J.K. Rowling;768;2001-12-08;4,56;91;2
1722;9780932440556;Five T'ang Poets;Wang Wei;184;1990-10-08;4,3;169;21
1723;9780060970611;The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill;Charles Rembar;528;1986-12-01;3,88;11;0
1724;9780394832203;Juniper;Monica Furlong;198;2004-02-24;4,16;112;7
1725;9781880823194;The Long Road Back: A Survivor's Guide to Anorexia;Judy Tam Sargent;194;1998-10-01;3,2;30;3
1726;9781931541749;The Road Back;Erich Maria Remarque;352;2001-12-01;4,32;3146;99
1727;9781593080112;Robinson Crusoe;Daniel Defoe;312;2003-04-01;3,67;350;49
1728;9780684813219;Achilles in Vietnam: Combat Trauma and the Undoing of Character;Jonathan Shay;272;1995-10-01;4,25;1130;110
1729;9780226142814;The Work of Mourning;Jacques Derrida;272;2003-09-15;4,2;167;7
1730;9780749919443;Transform Your Life: A step-by-step programme for change;Diana Cooper;176;1998-10-29;4,0;6;0
1731;9780679772699;A Short History of Byzantium;John Julius Norwich;496;1998-12-29;4,09;1772;142
1732;9780701176082;The Middle Sea: A History of the Mediterranean;John Julius Norwich;588;2006-10-31;3,85;662;53
1733;9780679721970;A History of Venice;John Julius Norwich;673;1989-06-18;4,2;1422;93
1734;9780140152128;The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194;John Julius Norwich;816;2004-09-01;4,34;268;16
1735;9780679643364;Siddhartha;Hermann Hesse;129;2006-07-18;4,02;888;60
1736;9780142437186;Siddhartha;Hermann Hesse;132;2002-12-31;4,02;1104;114
1737;9782253008484;Siddhartha;Hermann Hesse;160;1975-10-31;4,02;590;29
1738;9780375757853;The Moonstone;Wilkie Collins;528;2001-09-11;3,91;59709;2819
1739;9780140620139;The Moonstone;Wilkie Collins;464;1998-10-24;3,91;349;44
1740;9780192100283;The Moonstone;Wilkie Collins;576;1999-06-10;3,91;74;6
1741;9780195119206;Ride of the Second Horseman: The Birth and Death of War;Robert L. O'Connell;320;1997-10-19;4,29;13;0
1742;9781400033416;Beloved;Toni Morrison;324;2004-06-08;3,83;282045;9004
1743;9780743261951;Cry  the Beloved Country;Alan Paton;316;2003-11-25;3,9;54558;2937
1744;9780824519865;Life of the Beloved: Spiritual Living in a Secular World;Henri J.M. Nouwen;160;2002-10-01;4,28;7551;498
1745;9781593109158;Come Away My Beloved;Frances J. Roberts;192;2005-10-01;4,58;8;0
1746;9780736903707;Israel  My Beloved;Kay Arthur;448;2001-03-15;4,16;681;83
1747;9781929241637;Beloved Bride: The Letters of Stonewall Jackson to His Wife;Bill Potter;156;2003-04-10;4,1;137;18
1748;9780874778717;The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook);Jean Houston;272;1997-06-30;3,95;18;2
1749;9780802141903;Reservation Blues;Sherman Alexie;306;2005-02-07;3,98;11163;772
1750;9780375407932;The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain;Cormac McCarthy;1040;1999-09-28;4,44;4589;252
1751;9780743418263;Music & Silence;Rose Tremain;485;2001-05-01;3,95;2923;214
1752;9780140296617;The Periodic Table;Primo Levi;194;2009-01-01;4,21;101;10
1753;9780684826806;Survival in Auschwitz;Primo Levi;187;1995-09-01;4,32;29099;900
1754;9780684826356;The Reawakening;Primo Levi;230;1995-12-01;4,29;1269;67
1755;9780349100470;The Drowned and the Saved;Primo Levi;170;1989-02-01;4,4;3542;169
1756;9780140188929;The Monkey's Wrench;Primo Levi;192;1995-07-01;3,92;601;34
1757;9780312423674;Primo Levi: A Life;Ian Thomson;640;2004-12-01;4,11;104;5
1758;9780140620122;Wuthering Heights;Emily Brontë;279;2007-01-13;3,85;2155;182
1759;9780143036371;Disgrace;J.M. Coetzee;220;2005-08-30;3,84;61545;3916
1760;9780140283358;Waiting for the Barbarians;J.M. Coetzee;152;1999-10-01;3,94;18097;1029
1761;9780691070896;The Lives of Animals;J.M. Coetzee;136;2001-05-06;3,69;1930;139
1762;9780140265668;Boyhood: Scenes from Provincial Life;J.M. Coetzee;166;1998-09-01;3,79;3162;183
1763;9780142002001;Youth;J.M. Coetzee;176;2003-10-07;3,79;4931;261
1764;9780140275650;Age of Iron;J.M. Coetzee;198;1998-09-01;3,84;2976;207
1765;9780141181288;The Wife (Kristin Lavransdatter  #2);Sigrid Undset;402;1999-11-01;4,15;2116;164
1766;9780143039167;Kristin Lavransdatter (Kristin Lavransdatter  #1-3);Sigrid Undset;1144;2005-09-27;4,28;7210;926
1767;9780679752738;The Axe (The Master of Hestviken  #1);Sigrid Undset;304;1994-11-29;4,21;496;51
1768;9780141182353;The Cross (Kristin Lavransdatter  #3);Sigrid Undset;366;2000-04-01;4,29;1803;146
1769;9780141180410;The Wreath (Kristin Lavransdatter  #1);Sigrid Undset;305;1997-12-01;4,02;3831;473
1770;9780394752938;The Mistress of Husaby (Kristin Lavransdatter  #2);Sigrid Undset;384;1987-05-12;4,15;167;30
1771;9781586420505;Jenny;Sigrid Undset;330;1998-06-01;3,79;549;42
1772;9781586420215;The Unknown Sigrid Undset: Jenny and Other Works;Sigrid Undset;406;2001-12-31;4,19;48;9
1773;9780141180205;Gunnar's Daughter;Sigrid Undset;161;1998-04-01;4,18;848;79
1774;9780679755548;The Snake Pit (The Master of Hestviken  #2);Sigrid Undset;240;1994-11-29;4,23;349;18
1775;9780679755524;The Son Avenger (The Master of Hestviken  #4);Sigrid Undset;288;1995-06-24;4,4;275;19
